127.0.0.1 - - [23/Jul/2017:15:58:50 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:14 +0530] "GET /frontend_project2/css/registrationform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:14 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:14 +0530] "GET /frontend_project2/images/down1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/controller/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/controller/friendcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/js/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/js/stomp/dist/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/controller/chatcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:17 +0530] "GET /frontend_project2/service/chatservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:18 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:18 +0530] "GET /frontend_project2/images/green-stars.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:18 +0530] "GET /frontend_project2/views/myprofile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:18 +0530] "GET /backend_project2/getimage/Krishna HTTP/1.1" 200 32796
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:18 +0530] "GET /backend_project2/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:18 +0530] "GET /frontend_project2/css/registrationform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:18 +0530] "GET /frontend_project2/images/down1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:19 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:20 +0530] "GET /backend_project2/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:21 +0530] "GET /frontend_project2/images/av6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:21 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:21 +0530] "GET /frontend_project2/images/oddo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:25 +0530] "GET /frontend_project2/js/passwordConfirm.js?_=1500806717900 HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:25 +0530] "GET /backend_project2/getuserdetails HTTP/1.1" 401 51
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/controller/usercontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/service/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/controller/jobcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/service/jobservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/controller/blogpostcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/service/blogpostservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/controller/blogdetailcontroller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/service/friendservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:16:15:28 +0530] "GET /frontend_project2/controller/friendcontroller.js HTTP/1.1" 304 -
